accession	strain
AF135873	2235-NY-77
AF135874	2236-NY-77
AF135875	2237-NY-77
AF135876	2238-NY-77
AF135877	2239-NY-77
AF135878	2241-NY-79
AF135879	2243-NY-79
AF135880	2258-CA-79
AF135881	2259-CA-82
AF135882	2260-CA-86
AF135883	2604-AUS-74
AF135884	2605-AUS-74
AF135885	2608-AUS-74
AF135886	2609-AUS-74
AF135887	2610-AUS-74
AF135888	2952-SD-81
AF135889	3663-MA-82
AF135890	3874-ND-82
AF135891	3885-UT-82
AF135892	3982-OH-82
AF135893	4224-MA-82
AF135894	4323-UT-83
AF135895	4599-OR-83
AF135896	4644-AR-83
AF135897	4826-CT-83
AF135898	5115-TX-83
AF135899	6658-COL-94
AF135900	6762-OK-86
AF135901	6910-OK-87
AF135902	7235-AK-87
AF135903	7289-NC-87
AF135904	7298-AK-87
AF135905	7632-PA-87
AF135906	7635-WA-87
AF135907	8149-AL-88 55E
AF135908	0614-MAA-97 A3
AF135909	0618-MAA-97 67
AF135910	0632-MAA-97 34
AF135911	0731-MAA-97 24EF
AF135912	0754-MAA-97 262D
AF135913	0770-MAA-97 22FC
AF135914	2289-MAA-97 2517
AF135915	2300-MAA-97 24AD
AF135916	2301-MAA-97 21C8
AF135917	2303-MAA-97
AF135918	2304-MAA-97
AF135919	2305-MAA-97
AF135920	2306-MAA-97
AF135921	2322-MAA-97
AF135922	2325-MAA-97
AF135923	2331-MAA-97
AF135924	2332-MAA-97
AF135925	2333-MAA-97
AF135926	2335-MAA-97
AF135927	2336-MAA-97
AF135928	2337-MAA-97
AF135929	7204-MAA-97
AF135930	7208-MAA-97
AF135931	0359-TX-90
AF135932	0390-TX-91
AF135933	0443-TX-91
AF135934	0667-CHN-87
AF135935	0756-MAA-97
AF135936	1997-NC-94
AF135937	2132-VA-95
AF135938	2261-CA-91
AF135939	2262-CA-92
AF135940	2263-CA-94
AF135941	2286-TX-97
AF135942	2355-OK-97
AF135943	2381-MA-97
AF135944	2583-CAN-91
AF135945	2623-AUS-86
AF135946	2640-AUS-95
AF135947	2641-AUS-95
AF135948	2642-AUS-95
AF135949	2644-AUS-95
AF135950	2814-MO-98
AF135951	7237-AK-87
AF135952	7238-AK-87
AF135953	8495-VA-88
AF135954	9166-TX-89
AF135955	9243-OK-89
AF135956	9323-TX-89
AF135957	9718-TX-89
AF135958	9837-WA-89
AF135959	9873-NM-89
AF136379	NCKU9822
AF152248	AL88-8149
AF152267	MD87-9256
AF152278	NM90-9873
AF152279	OH89-9243
AF152283	OK89-9452
AF152297	TX89-9166
AF167996	TW/253/86
AF176044	1245a/98/tw
AF190559	1102-MAA-97
AF190560	1103-MAA-97
AF190561	1105-MAA-97
AF190562	1106-MAA-97
AF190563	1107-MAA-97
AF190564	1108-MAA-97
AF190565	1109-MAA-97
AF190566	1110-MAA-97
AF190567	1112-MAA-97
AF190568	1113-MAA-97
AF190569	2294-MAA-97
AF190570	2334-MAA-97
AF190571	7202-MAA-97
AF190572	1114-MAA-98
AF190573	1115-MAA-98
AF190574	1116-MAA-98
AF190575	1117-MAA-98
AF190576	1118-MAA-98
AF190577	31214-AZ-99
AF237688	16277-AZ99
AF251223	15/Sin/98
AF251224	16/Sin/98
AF251225	20/Sin/98
AF251226	26/Sin/98
AF251227	27/Sin/98
AF251228	36/Sin/97
AF251229	39/Sin/97
AF251230	55/Sin/97
AF251231	56/Sin/97
AF251232	57/Sin/97
AF251233	58/Sin/97
AF251234	28/Mal/98
AF251235	33/Mal/98
AF251236	34/Mal/98
AF251358	13/Sin/98
AF251359	18/Sin/97
AF251802	23/Jap/98
AF251803	46/Mal/97
AF251804	25/Mal/98
AF251805	47/Mal/97
AF252163	T100
AF252190	T100
AF252216	T100
AF276912	072-KOR-00
AF276913	126-KOR-00
AF276914	129-KOR-00
AF280066	612-5/98
AF282257	617-46/98
AF286489	1423-SIN-98
AF286490	1424-SIN-97
AF286491	2731-TAI-98
AF286492	2732-TAI-98
AF286493	2733-TAI-98
AF286494	2734-TAI-98
AF286495	2735-TAI-98
AF286496	2785-TAI-98
AF286497	2848-TAI-98
AF286498	2849-TAI-98
AF286499	2850-TAI-98
AF286500	2851-TAI-98
AF286501	2852-TAI-98
AF286502	2861-TAI-98
AF286503	2862-TAI-98
AF286504	2864-TAI-98
AF286505	2865-TAI-98
AF286506	2867-TAI-98
AF286507	2868-TAI-98
AF286508	2871-TAI-98
AF286509	2872-TAI-98
AF286510	2873-TAI-98
AF286511	2878-TAI-98
AF286512	2885-TAI-98
AF286513	2892-TAI-98
AF286514	2894-TAI-98
AF286515	2895-TAI-98
AF286516	2896-TAI-98
AF286517	2897-TAI-98
AF286518	2899-TAI-98
AF286519	2901-TAI-98
AF286520	2906-TAI-98
AF286521	2911-TAI-98
AF286522	2912-TAI-98
AF286523	2913-TAI-98
AF286524	2914-TAI-98
AF286525	2915-TAI-98
AF286526	2916-TAI-98
AF286527	2917-TAI-98
AF286528	2943-TAI-98
AF286529	2945-TAI-98
AF286530	2949-TAI-98
AF286531	3254-TAI-98
AF302996	SHZH98
AF304457	Tainan/5746/98
AF304458	Tainan/4643/98
AF304459	Tainan/6092/98
AF314003	5627/SIN/002009
AF314004	5589/SIN/001809
AF314005	5656/SIN/002209
AF314006	5506/SIN/001309
AF314007	5536/SIN/001409
AF314008	5546/SIN/000009
AF316321	AF316321
AF316322	5855/sin/000009
AF352027	AF352027
AF376064	SB1191/SAR/00
AF376065	SB1647/SAR/00
AF376066	SB2864/SAR/00
AF376067	CN04104/SAR/00
AF376068	CN062334/SAR/00
AF376069	SB0635/SAR/00
AF376070	CN0942/SAR/00
AF376071	CN9502/SAR/00
AF376072	MY104/9/SAR/97
AF376073	MY16/1/SAR/97
AF376074	MY21/2/SAR/97
AF376075	MY6/2/SAR/97
AF376076	MY755/3/SAR/97
AF376077	MY821/3/SAR/97
AF376078	MY860/3/SAR/97
AF376079	S10822/SAR/98
AF376080	S10862/SAR/98
AF376081	S11051/SAR/98
AF376082	S12172/SAR/00
AF376083	S12502/SAR/00
AF376084	S21082/SAR/00
AF376085	S2861/SAR/00
AF376086	S40201/SAR/00
AF376087	S40221/SAR/00
AF376088	10M/AUS/6/99
AF376089	11F/AUS/6/99
AF376090	12F/AUS/6/99
AF376091	14F/AUS/9/99
AF376092	15M/AUS/8/99
AF376093	16F/AUS/6/99
AF376094	17M/AUS/5/99
AF376095	18F/AUS/6/99
AF376096	19M/AUS/6/99
AF376097	1M/AUS/3/99
AF376098	1M/AUS/12/00
AF376099	20F/AUS/6/99
AF376100	25M/AUS/2/99
AF376101	26M/AUS/2/99
AF376102	27M/AUS/2/99
AF376103	2M/AUS/3/99
AF376104	3F/AUS/3/99
AF376105	4F/AUS/4/99
AF376106	5M/AUS/5/99
AF376107	6F/AUS/6/99
AF376108	7F/AUS/6/99
AF376109	8M/AUS/6/99
AF376110	9F/AUS/6/99
AF376111	2027/SIN/01
AF376112	2120/SIN/01
AF376113	2123/SIN/01
AF376114	2267/SIN/01
AF376115	2386/SIN/01
AF376116	3526/SIN/98
AF376117	3799/SIN/98
AF376118	4284/SIN/98
AF376119	4350/SIN/98
AF376120	4575/SIN/98
AF376121	5511/SIN/00
AF376122	5536/SIN/00
AF376123	5546/SIN/00
AF376124	5556/SIN/00
AF376125	5769/SIN/00
AF376126	5859/SIN/00
AF376127	5869/SIN/00
AF376128	5881/SIN/00
AF376129	5926/SIN/00
AF380620	H
AF412377	Amna
AF412378	Daba
AF412379	Angu
AF412380	Irna
AF412381	Sola
AF412382	Jawa
AF412383	Jahu
AF429401	611-3/98
AF429402	616-32/98
AF429403	617-24/98
AF429404	617-26/98
AF429405	617-28/98
AF429406	617-30/98
AF429407	623-27/98
AF525220	KOR-EV71-01
AF525221	KOR-EV71-03
AF525222	KOR-EV71-06
AF525223	KOR-EV71-10
AF525224	KOR-EV71-13
AH012706	S18191/SAR/02
AJ237944	AJ237944
AJ237945	AJ237945
AJ238445	EV71/7/97/UH1
AJ238446	EV71/7/97/UH1SB
AJ238447	EV71/8/97/UH2
AJ238448	EV71/8/97/UH2S
AJ238449	EV71/9/97/UH3
AJ238450	EV71/10/97/UH4
AJ238451	EV71/8/97/MH1
AJ238452	EV71/PM/SHA51
AJ238453	EV71/PM/SHA61
AJ238454	EV71/SAR/C3
AJ238455	EV71/SAR/UM3
AJ238456	EV71/SAR/SHA63
AJ238457	EV71/SAR/SHA66
AJ296213	Epsom/815/99
AJ296214	Epsom/10620/99
AJ300753	LH7415/99
AJ300754	JK815/99
AJ300755	WM10620/99
AJ300756	ZS6844/96
AJ300757	LT449/00
AJ300758	CS9410/99
AJ300759	FW10756/99
AJ300760	JH17760/98
AJ300761	JM8336/97
AJ300762	MC11418/99
AJ300763	MC9178/99
AJ300764	MT17728/98
AJ309240	IT98-5306
AJ309264	IT98-5080
AJ309265	IT98-5084
AJ312088	IT98-5114
AJ586873	EV71/9/97/SHA89
AM396584	ENT/PM/SHA52
AM396585	ENT/PM/SHA71
AM396586	EV71/SAR/SHA66
AM396587	UH1/PM/1997
AM396588	EV71/SAR/SHA63
AM492417	FR-03-2003-69
AM696274	CSF209006-06
AM696279	CSF314034-06
AM939576	H0/6438/418/2006
AM939577	EP/2063/2001
AM939578	H0/6314/248/2006
AM939579	EP/2353/2002
AM939580	EP/2405/2001
AM939581	EP/2826/2002
AM939582	EP/3267/2002
AM939583	EP/5622/1999
AM939584	EP/5746/2001
AM939585	EP/7414/1999
AM939586	EP/8277/2001
AM939587	EP/8300/2004
AM939588	EP/9027/1999
AM939589	EP/11052/2001
AM939590	EP/11168/2000
AM939591	EP/12081/2001
AM939592	EP/13372/1998
AM939593	EP/17728/1998
AM939594	EP/449/2000
AM939595	EP/12105/2001
AM939596	EP/4709/2001
AM939597	STH/MCN/2006
AM939598	H0/5440/288/2005
AM939599	H0/6486/445/2006
AM939600	H0/6334/528/2006
AM939601	H0/6290/136/2006
AM939602	H0/6344/349/2006
AM939603	H0/5454/265/2005
AM939604	H0/6332/439/2006
AM939605	H0/6290/135/2006
AM939606	H0/6344/348/2006
AM939607	H0/6364/255/2006
AM939608	STH/MCN/2006
AM939609	H0/6290/136/2006
AM939610	H0/6334/528/2006
AM939611	H0/6486/445/2006
AM939612	H0/6332/439/2006
AM939613	H0/6438/418/2006
AM939614	H0/6344/349/2006
AM939615	H0/6344/348/2006
AM939616	H0/5440/288/2005
AM939617	H0/5454/265/2005
AM939618	H0/6364/255/2006
AM939619	H0/6314/248/2006
AM939620	H0/6290/135/2006
AM939621	EP/17728/1998
AM939622	EP/13372/1998
AM939623	EP/12105/2001
AM939624	EP/12081/2001
AM939625	EP/11168/2000
AM939626	EP/11052/2001
AM939627	EP/9027/1999
AM939628	EP/8300/2004
AM939629	EP/8277/2001
AM939630	EP/7414/1999
AM939631	EP/5746/2001
AM939632	EP/5622/1999
AM939633	EP/4709/2001
AM939634	EP/3267/2002
AM939635	EP/2826/2002
AM939636	EP/2405/2001
AM939637	EP/2353/2002
AM939638	EP/2063/2001
AM939639	EP/449/2000
AY027864	TS/SIN/001002
AY027865	TF/SIN/000704
AY027866	5571/SIN/001809
AY039005	623-38/98
AY053402	H
AY055125	N6270-TW-98
AY055126	N4643-TW-98
AY055127	N5033-TW-98
AY055128	N5202-TW-98
AY055129	N5296-TW-98
AY055130	N6071-TW-98
AY055131	N6182-TW-98
AY055132	H0382-TW-98
AY055133	N6174-TW-98
AY055134	N5385-TW-98
AY055135	N5811-TW-98
AY055136	N6128-TW-98
AY055137	N6108-TW-98
AY055138	N6252-TW-98
AY055139	N6356-TW-98
AY055140	N5698-TW-98
AY055141	H0358-TW-98
AY055142	N5062-TW-98
AY055143	N5055-TW-98
AY055144	H0139-TW-98
AY055145	H0001-TW-98
AY055146	N6064-TW-98
AY055147	N5761-TW-98
AY055148	M0177-TW-00
AY055149	M0226-TW-00
AY055150	S9086-TW-98
AY055151	N5157-TW-98
AY055152	N7008-TW-99
AY055153	N7129-TW-99
AY055154	N5101-TW-98
AY055155	H0444-TW-00
AY055156	N1059-TW-00
AY055157	N1034-TW-00
AY055158	H0575-TW-00
AY055159	N1643-TW-00
AY055160	N0118-TW-00
AY055161	S0042-TW-00
AY055162	H0148-TW-00
AY055163	M0267-TW-00
AY055164	S0201-TW-00
AY055165	M0485-TW-00
AY055166	S0463-TW-99
AY055167	M0225-TW-00
AY055168	M0200-TW-00
AY055169	H0218-TW-00
AY055170	S0296-TW-00
AY055171	M0167-TW-00
AY055172	N1554-TW-00
AY055173	236-TW-86
AY055174	N5101-TW-98
AY055175	S0296-TW-00
AY055176	S0309-TW-00
AY055177	N1643-TW-00
AY055178	H0444-TW-00
AY055179	M0652-TW-00
AY055180	N1059-TW-00
AY055181	N1034-TW-00
AY055182	H0493-TW-00
AY055183	H0148-TW-00
AY055184	M0267-TW-00
AY055185	M0177-TW-00
AY055186	M0200-TW-00
AY055187	M0485-TW-00
AY055188	M0201-TW-00
AY055189	S0463-TW-99
AY055190	M0225-TW-00
AY055191	H0001-TW-98
AY055192	N5055-TW-98
AY055193	H0139-TW-98
AY055194	N4643-TW-98
AY055195	H0358-TW-98
AY055196	N5385-TW-98
AY055197	N6356-TW-98
AY055198	N6108-TW-98
AY055199	N5811-TW-98
AY055200	N5202-TW-98
AY055201	N7008-TW-99
AY079098	Germany/FS/98
AY123942	0915-MA87
AY123943	1011-ND79
AY123944	10181-MN78
AY123945	1413-CA87
AY123946	1873-CT94
AY123947	1919-NM94
AY123948	2037-MD95
AY123949	2228-NY72
AY123950	2229-NY76
AY123951	2230-NY76
AY123952	2231-NY77
AY123953	2235-NY77
AY123954	6910-OK87
AY123955	7633-PA87
AY123956	7673-CT87
AY123957	8102-WA87
AY125966	KOR-EV71-01
AY125967	KOR-EV71-02
AY125968	KOR-EV71-3
AY125969	KOR-EV71-05
AY125970	KOR-EV71-06
AY125971	KOR-EV71-07
AY125972	KOR-EV71-08
AY125973	KOR-EV71-09
AY125974	KOR-EV71-10
AY125975	KOR-EV71-11
AY125976	KOR-EV71-13
AY125984	3526/SIN/98
AY125985	3799/SIN/98
AY125986	4575/SIN/98
AY125987	4915/SIN/99
AY125988	5511/SIN/00
AY125989	5926/SIN/00
AY125990	5859/SIN/00
AY125991	5536/SIN/00
AY125992	5769/SIN/00
AY125993	2027/SIN/01
AY125994	2267/SIN/01
AY125995	MY821-3/SAR/97
AY125996	MY860-3/SAR/97
AY125997	MY104-9/SAR/97
AY125998	S10822/SAR/98
AY125999	S10862/SAR/98
AY126000	S11051/SAR/98
AY126001	CN0942/SAR/00
AY126002	CN9502/SAR/00
AY126003	S40221/SAR/00
AY126004	SB1647/SAR/00
AY126005	S21082/SAR/00
AY126006	SB2864/SAR/00
AY126007	10M/AUS/6/99
AY126008	4F/AUS/4/99
AY126009	5M/AUS/5/99
AY126010	7F/AUS/6/99
AY126011	14F/AUS/9/99
AY126012	8M/AUS/6/99
AY126013	9F/AUS/6/99
AY126014	1M/AUS/12/00
AY179600	R13223-IND-01
AY179601	R13223-IND-01
AY179602	R13223-IND-01
AY189161	NSW/08/97
AY189189	NSW/153/98
AY189191	NSW/156/98
AY189192	NSW/157/98
AY189195	NSW/166/98
AY189196	NSW/169/98
AY189198	NSW/180/98
AY189199	NSW/182/98
AY189201	NSW/194/99
AY189202	NSW/196/99
AY189207	NSW/209/99
AY189209	NSW/220/99
AY189212	NSW/249/99
AY189216	NSW/E71/99
AY189931	NSW/85/97
AY189933	NSW/167/97
AY207611	03907-MAA-97
AY207612	03784-MAA-97
AY207613	03300-MAA-97
AY207614	0870-MAA-97
AY207615	03750-MAA-97
AY207616	0473-MAA-97
AY207617	0778-MAA-00
AY207618	0807-MAA-00
AY207619	0836-MAA-00
AY207620	0915-MAA-00
AY207621	0937-MAA-00
AY207622	0948-MAA-00
AY207623	0042-MAA-00
AY207624	0066-MAA-00
AY207625	0113-MAA-00
AY207626	0389-MAA-00
AY207627	0431-MAA-00
AY207628	0467-MAA-00
AY207629	0838-MAA-99
AY207630	0808-MAA-98
AY207631	0557-MAA-98
AY207632	0832-MAA-00
AY207633	0815-MAA-00
AY207634	0774-MAA-00
AY207635	05716-MAA-00
AY207636	04716-MAA-97
AY207637	0343-MAA-97
AY207638	0283-MAA-97
AY207639	0245-MAA-97
AY207640	0175-MAA-97
AY207641	0036-MAA-97
AY207642	0899-MAA-97
AY207643	0898-MAA-97
AY207644	0897-MAA-97
AY207645	0884-MAA-97
AY207646	0414-MAA-97
AY207647	0128-MAA-97
AY207648	0903-MAA-97
AY207649	0091-MAA-97
AY207650	0919-MAA-99
AY207651	0627-MAA-99
AY207652	0615-MAA-99
AY207653	0749-MAA-99
AY208095	W573-121/99
AY208096	97/00528-28/99
AY208097	C13073-53/01
AY208098	W1053-52/01
AY208099	W1244-50/01
AY208100	97/15229-29/99
AY208101	97/18757-31/99
AY258294	SB9869-SAR-03
AY258295	SB9604-SAR-03
AY258296	SB9582-SAR-03
AY258297	SB9579-SAR-03
AY258298	SB9564-SAR-03
AY258299	SB9533-SAR-03
AY258300	SB9522-SAR-03
AY258301	SB9508-SAR-03
AY258302	SB9465-SAR-03
AY258303	S110261-SAR-03
AY258304	S110241-SAR-03
AY258305	S110121-SAR-03
AY258306	S110101-SAR-03
AY258307	S110031-SAR-03
AY258308	S23141-SAR-03
AY258309	S19871-SAR-03
AY258310	S19841-SAR-03
AY258311	S19791-SAR-03
AY258312	S19761-SAR-03
AY258313	S19741-SAR-03
AY258314	S19731-SAR-03
AY258315	S19691-SAR-03
AY258316	CN30552-SAR-03
AY258317	CN30014-SAR-03
AY258318	5026-SIN-02
AY258319	4381-SIN-02
AY258320	3742-SIN-02
AY258321	2786-SIN-02
AY278249	73442-PA-99
AY321116	1207
AY321117	1207
AY334504	1225
AY334505	1321
AY334506	0815
AY334507	00092
AY334508	1341
AY334509	00256
AY334510	00260
AY334511	1263
AY334512	0303
AY334513	010522
AY334514	0143
AY334515	0217
AY334516	010619
AY334517	010753
AY334518	0349
AY334519	99214
AY334520	0200
AY334521	99216
AY334522	99370
AY334523	99263
AY334524	00005
AY334525	00013
AY334526	00015
AY334527	00027
AY465356	SHZH03
AY547499	EV71-SHH02-6
AY547500	EV71-SHH02-17
AY547501	EV71-CQ03-1
AY694124	s-4-112_03
AY694125	s-4-126_03
AY694126	s-4-144_03
AY697492	BAN01-10585
AY722884	1058-SYD-86
AY722885	8005-SYD-86
AY722886	7610-SYD-86
AY722887	6887-SYD-86
AY722888	6955-SYD-86
AY722889	2197-SYD-86
AY722890	6560-SYD-86
AY722891	5409-SYD-86
AY722892	1411-SYD-86
AY722893	5408-SYD-86
AY722894	7870-SYD-86
AY722895	3032-SYD-86
AY722896	3717-SYD-86
AY722897	0863-SYD-87
AY722898	4812-SYD-89
AY722899	5596-SYD-89
AY722900	5088-SYD-90
AY722901	0649-SYD-90
AY722902	7784-SYD-90
AY722903	4615-SYD-90
AY722904	1182-SYD-91
AY722905	0681-SYD-91
AY722906	9855-SYD-91
AY722907	5247-SYD-92
AY722908	2978-SYD-92
AY722909	1065-SYD-94
AY722910	2266-SYD-00
AY722911	2790-SYD-01
AY722912	2573-SYD-01
AY722913	2999-SYD-01
AY722914	3242-SYD-01
AY722915	2287-SYD-01
AY794024	SB2864-SAR-00
AY794025	SB12736-SAR-03
AY794026	MY104-9-SAR-97
AY794027	006-KOR-00
AY794028	J115-MAL-01
AY794029	PP37-MAL-01
AY794030	7F-AUS-6-99
AY794031	1M-AUS-12-00
AY794032	SB9869-SAR-03
AY794033	SB9654-SAR-03
AY794034	SB9509-SAR-03
AY794035	SB9508-SAR-03
AY794036	SB9465-SAR-03
AY794037	S23141-SAR-03
AY794038	S19761-SAR-03
AY794039	S19731-SAR-03
AY794040	S19711-SAR-03
AY794041	S110101-SAR-03
AY794042	S110031-SAR-03
AY817059	75/00/TW
AY817060	109/01/TW
AY817061	250/86/TW
AY817062	251/99/TW
AY817063	427/99/TW
AY817064	532/00/TW
AY817065	685/04/TW
AY817066	1043/01/TW
AY817067	1104/01/TW
AY817068	2002/00/TW
AY817069	2644/04/TW
AY817070	4688/04/TW
AY817071	4694/04/TW
AY817072	4693/04/TW
AY817073	C1481/00/TW
AY817074	C2446/01/TW
AY817075	C2564/01/TW
AY817076	C1153/00/TW
AY817077	C3346/02/TW
AY817078	K002/01/TW
AY817079	C3485/02/TW
AY817080	K0381/01/TW
AY817081	K614/04/TW
AY817082	K0381/01/TW
AY817083	K614/04/TW
AY817084	K650/04/TW
AY817085	K793/04/TW
AY817086	K847/04/TW
AY817087	K848/04/TW
AY842244	DK4-112
AY842245	DK4-126
AY842246	DK4-144
AY895091	shenzhen
AY895092	shzh04-J41
AY895129	shzh04-J38
AY895130	shzh02-40
AY895131	shzh04-J42
AY895132	shzh01-3
AY895133	shzh03-105
AY895134	shzh01-4
AY895135	shzh03-58
AY895136	shzh02-62
AY895137	shzh04-J40
AY895138	shzh03-106
AY895139	shzh04-2
AY895140	shzh04-J39
AY895141	shzh04-23
AY895142	shzh04-3
AY895143	shzh04-20
AY895144	shzh04-12
AY895145	shzh04-38
AY899176	CY02-518
AY899180	CY02-672
AY899277	sz01/EV71/Shenzhen/2003
AY899278	sz02/EV71/Shenzhen/2003
AY899279	sz03/EV71/Shenzhen/2004
AY905545	SB12869-SAR-03
AY905546	SB12282-SAR-03
AY905547	SB12278-SAR-03
AY905548	SB12007-SAR-03
AY905549	SB11977-SAR-03
AY905550	SB10712-SAR-03
AY905614	ZJ-CHN-1-03
AY905615	ZJ-CHN-2-03
AY905616	ZJ-CHN-3-03
AY905617	ZJ-CHN-4-03
AY905618	ZJ-CHN-5-03
AY905619	ZJ-CHN-6-03
AY919576	10585
AY935539	EVSZ1/2001
AY940100	9901-SYD-01
AY940101	9902-SYD-01
AY940102	9906-SYD-01
AY940103	9911-SYD-01
AY940104	9912-SYD-01
AY940105	9917-SYD-01
AY940106	9918-SYD-00
AY940107	9923-SYD-01
AY940108	9924-SYD-00
AY940109	9929-SYD-00
AY940110	1095-SYD-95
AY940111	1232-SYD-96
AY940112	1181-SYD-98
AY940113	0964-SYD-98
AY956567	Germany/356/2003
AY956570	Germany/802/2003
CS246038	CS246038
DI448547	DI448547
DI448714	DI448714
DI448745	DI448745
DQ008988	CDC153/03/TW/EV71
DQ008989	CDC691/03/TW/EV71
DQ008990	CDC695/03/TW/EV71
DQ008991	N1416/04/TW/EV71
DQ008992	N2472/04/TW/EV71
DQ008993	N2838/03/TW/EV71
DQ008994	N2852/04/TW/EV71
DQ008995	N2947/04/TW/EV71
DQ008996	S37/03/TW/EV71
DQ008997	VI4705/04/TW/EV71
DQ008998	CDC701/03/TW/EV71
DQ060149	pinf7-54A
DQ100442	1301/05/TW/EV71
DQ100443	1396/05/TW/EV71
DQ100444	1386/05/TW/EV71
DQ133458	984
DQ133459	1235
DQ154909	C2
DQ211951	C5
DQ211952	C6
DQ211953	C7
DQ211954	C13
DQ211955	C50
DQ211956	C53
DQ211957	C68
DQ211958	C83
DQ211960	C97
DQ211961	C99
DQ211966	E2
DQ211967	E5
DQ211968	E15
DQ249293	T46/EV71/Taipei/2005
DQ251349	Eps_EV71
DQ251396	Eps_EV71
DQ317216	NO-935
DQ317217	NO-955
DQ317218	NO-762/1
DQ317219	NO-848
DQ317220	NO-1018
DQ317221	NO-1101
DQ317222	NO-1023
DQ317223	NO-724
DQ317224	NO-1008/1
DQ317225	NO-956
DQ317226	NO-804
DQ317227	NO-900w
DQ317228	NO-604
DQ317229	NO-531
DQ317230	NO-1263
DQ317231	NO-1222
DQ317232	NO-357/1
DQ317233	NO-319/1
DQ317234	NO-871
DQ317235	NO-942w
DQ317236	NO-862
DQ317237	NO-723/1
DQ317238	NO-422
DQ341354	3799-SIN-98
DQ341355	06-KOR-00
DQ341356	03-KOR-00
DQ341357	7F-AUS-6-99
DQ341358	S40221-SAR-00
DQ341359	S10862-SAR-98
DQ341360	J115-MAL-01
DQ341361	1M-AUS-12-00
DQ341362	SB12736-SAR-03
DQ341363	S19841-SAR-03
DQ341364	5511-SIN-00
DQ341365	PP37-MAL-01
DQ341366	SB2864-SAR-00
DQ341367	MY821-3-SAR-97
DQ341368	MY104-9-SAR-97
DQ369948	AM01/Kw/2004
DQ369949	AM02/Kw/2004
DQ372605	496
DQ372606	1623
DQ372607	1622
DQ372608	390
DQ372609	042
DQ372610	315
DQ372611	334
DQ372612	122
DQ372613	131
DQ372614	139
DQ372615	156
DQ372616	121
DQ372617	123
DQ372618	127
DQ372619	310
DQ372620	009
DQ372621	142
DQ372622	150
DQ372623	155
DQ372624	039
DQ372625	072
DQ372626	301
DQ372627	319
DQ372628	322
DQ372629	382
DQ372630	2161
DQ372631	1762
DQ372633	195
DQ372634	215
DQ372635	218
DQ372636	4173
DQ372637	4348
DQ372638	0691
DQ372639	0695
DQ372640	0701
DQ372641	1166
DQ372642	6720
DQ372643	482
DQ372644	1051
DQ372645	2093
DQ372646	459
DQ372647	02064
DQ372648	1016
DQ372649	2119
DQ372650	2092
DQ372651	01013
DQ372652	1341
DQ372653	336
DQ372654	522R1
DQ372655	622
DQ372656	623
DQ372657	624
DQ372658	625
DQ372659	626
DQ372660	627
DQ376534	2005-080
DQ376535	2005-374
DQ376536	2005-375
DQ376537	2005-588
DQ376538	2005-964R2
DQ376539	2005-1733SR1
DQ376540	2005-998R1
DQ376541	2005-999R2
DQ376542	2005-1000R2
DQ376543	2005-587
DQ376544	2005-550
DQ376545	2005-242
DQ381846	6F/AUS/6/99
DQ421832	USA/MD2004-10698
DQ421833	USA/CO2003-Patient 3
DQ421834	USA/TX2003-10700
DQ421835	USA/TX2003-10701
DQ421836	USA/CO2005-Patient 14
DQ421837	USA/CO2004-Patient 12
DQ421838	USA/CO2005-Patient 11
DQ421839	USA/CO2005- Patient 9
DQ421840	USA/CO2005-Patient 13
DQ421841	USA/CO2005-Patient 10
DQ421842	USA/CO2003-Patient 5
DQ421843	USA/CO2003-Patient 6
DQ421844	USA/TX2003-10710
DQ421845	USA/CO2003-Patient 1
DQ421846	USA/CO2003-Patient 4
DQ421847	USA/CO2003-Patient 2
DQ421848	USA/CO2003-Patient 8
DQ421849	USA/CO2005-Patient 15
DQ421850	USA/GA2003-10716
DQ421851	USA/CT98-10717
DQ421852	USA/CO2003-Patient 7
DQ452074	804/NO/03
DQ529298	TW-1482-2001
DQ639979	8623VNR3
DQ666684	TW-2004-104
DQ785525	TW-2632-2000
DQ785526	TW-2720-2000
DQ785527	TW-2760-2000
DQ785528	TW-2781-2000
DQ785529	TW-2784-2000
DQ785530	TW-3123-2000
DQ785531	TW-3307-2000
DQ785532	TW-3594-2000
DQ785533	TW-3704-2000
DQ785534	TW-3857-2000
DQ785535	TW-4279-2000
DQ785536	TW-4527-2000
DQ785537	TW-4535-2000
DQ785538	TW-4553-2000
DQ785539	TW-4566-2000
DQ785540	TW-4568-2000
DQ785541	TW-4664-2000
DQ785542	TW-4729-2000
DQ785543	TW-4741-2000
DQ785544	TW-5110-2000
DQ785545	TW-5405-2000
DQ785546	TW-5426-2000
DQ785547	TW-5447-2000
DQ785548	TW-1280-2001
DQ785549	TW-5089-2001
DQ785550	TW-3351-1999
DQ785551	TW-4711-1999
DQ785552	TW-645-2000
DQ785553	TW-936-2000
DQ785554	TW-1155-2000
DQ785555	TW-1184-2000
DQ785556	TW-1504-2000
DQ785557	TW-1743-2000
DQ785558	TW-1769-2000
DQ785559	TW-1995-2000
DQ785560	TW-1996-2000
DQ785561	TW-2006-2000
DQ785562	TW-2179-2000
DQ785563	TW-2188-2000
DQ785564	TW-2200-2000
DQ785565	TW-2238-2000
DQ785566	TW-2242-2000
DQ785567	TW-2387-2000
DQ785568	TW-2404-2000
DQ785569	TW-2448-2000
